Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS137,12.99665,77.48816
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS138,12.99649,77.48812
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS139,12.99663,77.48803
Morgan Stanley,Syndicate Bank 2nd Main Park,,RR Nagar Zone,,,MS140,12.99638,77.48813
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS159,12.99552,77.48583
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS160,12.99561,77.48553
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS161,12.99551,77.48555
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS162,12.99527,77.48546
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS163,12.99508,77.48546
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS164,12.99506,77.48568
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS165,12.99498,77.48589
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS166,12.99501,77.48618
Morgan Stanley,Tunganagara Cricket Ground & Park,,RR Nagar Zone,,,MS167,12.99532,77.4862
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS47,12.95217,77.47998
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS48,12.9522,77.48005
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS49,12.95257,77.48018
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS50,12.95269,77.48017
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS51,12.95197,77.48003
Morgan Stanley,vishveshwaraiah park,,RR Nagar Zone,,,MS52,12.9523,77.47966
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS112,12.97943,77.47625
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS110,12.97903,77.47604
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS111,12.97931,77.47614
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS113,12.9795,77.47617
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS114,12.97963,77.47628
Morgan Stanley,Bharathnagar 2nd Stage Park,,RR Nagar Zone,,,MS115,12.97955,77.47617
Morgan Stanley,Srigandha Kaval Park,,RR Nagar Zone,,,MS105,12.97781,77.50316
Morgan Stanley,Srigandha Kaval Park,,RR Nagar Zone,,,MS106,12.97759,77.5029
Morgan Stanley,Srigandha Kaval Park,,RR Nagar Zone,,,MS107,12.97753,77.50335
Morgan Stanley,Srigandha Kaval Park,,RR Nagar Zone,,,MS108,12.97776,77.50348
Morgan Stanley,Srigandha Kaval Park,,RR Nagar Zone,,,MS109,12.97768,77.50318
Morgan Stanley,Annapoorneshwari BBMP Park,,RR Nagar Zone,,,MS93,12.9796,77.50765
Morgan Stanley,Annapoorneshwari BBMP Park,,RR Nagar Zone,,,MS94,12.97952,77.50751
Morgan Stanley,Annapoorneshwari BBMP Park,,RR Nagar Zone,,,MS95,12.97948,77.50741
Morgan Stanley,Annapoorneshwari BBMP Park,,RR Nagar Zone,,,MS96,12.97941,77.5075
Morgan Stanley,Annapoorneshwari BBMP Park,,RR Nagar Zone,,,MS97,12.97941,77.50766
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS87,12.97686,77.51231
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS88,12.97674,77.51236
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS89,12.97696,77.51225
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS90,12.97701,77.51212
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS91,12.97704,77.51209
Morgan Stanley,Ramakrishna hegde park,,RR Nagar Zone,,,MS92,12.97713,77.5122
Morgan Stanley,Prasanna anjaneya park,,RR Nagar Zone,,,MS103,12.97724,77.51291
Morgan Stanley,Prasanna anjaneya park,,RR Nagar Zone,,,MS104,12.9771,77.51319
Morgan Stanley,Chamundeshwari Park/ Budda Park,,RR Nagar Zone,,,MS98,12.97974,77.51343
Morgan Stanley,Chamundeshwari Park/ Budda Park,,RR Nagar Zone,,,MS99,12.97954,77.51329
Morgan Stanley,Chamundeshwari Park/ Budda Park,,RR Nagar Zone,,,MS100,12.97997,77.5133
Morgan Stanley,Chamundeshwari Park/ Budda Park,,RR Nagar Zone,,,MS102,12.97935,77.5138
Morgan Stanley,Chamundeshwari Park/ Budda Park,,RR Nagar Zone,,,MS101,12.98011,77.51331
Morgan Stanley,Ravi Gym Park,,RR Nagar Zone,,,MS83,12.97311,77.51216
Morgan Stanley,Ravi Gym Park,,RR Nagar Zone,,,MS84,12.97319,77.51218
Morgan Stanley,Ravi Gym Park,,RR Nagar Zone,,,MS85,12.97321,77.5123
